Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
"Congo, Dem. Rep.",COD,Population density (people per sq. km of land area),EN.POP.DNST,35.9051476588518
"Congo, Dem. Rep.",COD,Net migration,SM.POP.NETM,119303
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.57067057638817
"Congo, Rep.",COG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
"Congo, Rep.",COG,Population density (people per sq. km of land area),EN.POP.DNST,14.9654494875549
"Congo, Rep.",COG,Net migration,SM.POP.NETM,-20000
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,1.02787999000234
Costa Rica,CRI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.9523909303104
Costa Rica,CRI,Population density (people per sq. km of land area),EN.POP.DNST,96.9438895417156
Costa Rica,CRI,Net migration,SM.POP.NETM,21000
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.54778157022741
Cote d'Ivoire,CIV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.75992847176845
Cote d'Ivoire,CIV,Population density (people per sq. km of land area),EN.POP.DNST,76.8474056603774
Cote d'Ivoire,CIV,Net migration,SM.POP.NETM,-40000
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-1.20061016480925
Croatia,HRV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.10321785406805
Croatia,HRV,Population density (people per sq. km of land area),EN.POP.DNST,72.8844495493904
Croatia,HRV,Net migration,SM.POP.NETM,-40004
Cuba,CUB,Population growth (annual %),SP.POP.GROW,0.036578756776887
Cuba,CUB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Cuba,CUB,Population density (people per sq. km of land area),EN.POP.DNST,109.241377649326
Cuba,CUB,Net migration,SM.POP.NETM,-72000
Curacao,CUW,Population growth (annual %),SP.POP.GROW,0.319536038312865
Curacao,CUW,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,18.3740432474079
Curacao,CUW,Population density (people per sq. km of land area),EN.POP.DNST,360.754504504504
Curacao,CUW,Net migration,SM.POP.NETM,2573
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,0.808217946249284
Cyprus,CYP,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.17174297532342
Cyprus,CYP,Population density (people per sq. km of land area),EN.POP.DNST,127.671536796537
Cyprus,CYP,Net migration,SM.POP.NETM,25000
Czech Republic,CZE,Population growth (annual %),SP.POP.GROW,0.265642663548985
Czech Republic,CZE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.52465628041367
Czech Republic,CZE,Population density (people per sq. km of land area),EN.POP.DNST,137.21587877218
Czech Republic,CZE,Net migration,SM.POP.NETM,110057
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.643350903737356
Denmark,DNK,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.14682653886283
Denmark,DNK,Population density (people per sq. km of land area),EN.POP.DNST,144.1245
Denmark,DNK,Net migration,SM.POP.NETM,75998
Djibouti,DJI,Population growth (annual %),SP.POP.GROW,1.59974199816625
Djibouti,DJI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Djibouti,DJI,Population density (people per sq. km of land area),EN.POP.DNST,40.7290767903365
Djibouti,DJI,Net migration,SM.POP.NETM,4501
Dominica,DMA,Population growth (annual %),SP.POP.GROW,0.214335327593936
Dominica,DMA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.31476617367494
Dominica,DMA,Population density (people per sq. km of land area),EN.POP.DNST,95.28
Dominica,DMA,Net migration,SM.POP.NETM,..
Dominican Republic,DOM,Population growth (annual %),SP.POP.GROW,1.10348624035038
Dominican Republic,DOM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.46740458051546
Dominican Republic,DOM,Population density (people per sq. km of land area),EN.POP.DNST,217.617698199131
Dominican Republic,DOM,Net migration,SM.POP.NETM,-150000
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,1.76850279585209
Ecuador,ECU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.35505548423046
Ecuador,ECU,Population density (people per sq. km of land area),EN.POP.DNST,67.5847801578354
Ecuador,ECU,Net migration,SM.POP.NETM,182000
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,2.09083266789985
"Egypt, Arab Rep.",EGY,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.44468636835502
"Egypt, Arab Rep.",EGY,Population density (people per sq. km of land area),EN.POP.DNST,96.8834095132854
"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,-190164
El Salvador,SLV,Population growth (annual %),SP.POP.GROW,0.501983868180685
El Salvador,SLV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.11073220726204
El Salvador,SLV,Population density (people per sq. km of land area),EN.POP.DNST,308.307142857143
El Salvador,SLV,Net migration,SM.POP.NETM,-202694
Equatorial Guinea,GNQ,Population growth (annual %),SP.POP.GROW,3.78110663523236
Equatorial Guinea,GNQ,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Equatorial Guinea,GNQ,Population density (people per sq. km of land area),EN.POP.DNST,44.9913725490196
Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,79998
Eritrea,ERI,Population growth (annual %),SP.POP.GROW,..
Eritrea,ERI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Eritrea,ERI,Population density (people per sq. km of land area),EN.POP.DNST,33.7910297029703
Eritrea,ERI,Net migration,SM.POP.NETM,-199290
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.121070631466687
Estonia,EST,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,7.22721093983507
Estonia,EST,Population density (people per sq. km of land area),EN.POP.DNST,30.3055900621118
Estonia,EST,Net migration,SM.POP.NETM,19555
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,0.966059893032549
Eswatini,SWZ,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.79916937812635
Eswatini,SWZ,Population density (people per sq. km of land area),EN.POP.DNST,65.3958139534884
Eswatini,SWZ,Net migration,SM.POP.NETM,-41764
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.66341448153029
Ethiopia,ETH,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,1.88240185588797
Ethiopia,ETH,Population density (people per sq. km of land area),EN.POP.DNST,94.21926014294
Ethiopia,ETH,Net migration,SM.POP.NETM,150002
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,0.31710199733865
Faroe Islands,FRO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Faroe Islands,FRO,Population density (people per sq. km of land area),EN.POP.DNST,34.6174785100287
Faroe Islands,FRO,Net migration,SM.POP.NETM,..
Fiji,FJI,Population growth (annual %),SP.POP.GROW,0.577645837253693
Fiji,FJI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.05694956939661
Fiji,FJI,Population density (people per sq. km of land area),EN.POP.DNST,48.0273672687466
Fiji,FJI,Net migration,SM.POP.NETM,-31008
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.234670531705453
Finland,FIN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,7.02409259526876
Finland,FIN,Population density (people per sq. km of land area),EN.POP.DNST,18.1238944459068
Finland,FIN,Net migration,SM.POP.NETM,70000
France,FRA,Population growth (annual %),SP.POP.GROW,0.29020211635109
France,FRA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.26744078875136
France,FRA,Population density (people per sq. km of land area),EN.POP.DNST,122.211970625889
France,FRA,Net migration,SM.POP.NETM,182636
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,0.556400386544863
